sofascore_team_name,league_name,tm_club_name,match_score,match_method,sofascore_team_id,tm_club_id
Kyoto Sanga FC,J1 League,Kyoto Sanga,99,normalized,3149,593
LASK,Austrian Bundesliga,LASK,100,exact,2058,413
Las Palmas,LaLiga2,UD Las Palmas,99,normalized,6577,472
Le Mans,Ligue 2,Le Mans FC,99,normalized,1672,1164
Leganés,LaLiga2,CD Leganés,99,normalized,2845,1244
Lillestrøm SK,Norwegian Eliteserien,Lillestrøm SK,100,exact,664,353
MVV Maastricht,Eerste Divisie,MVV Maastricht,100,exact,2976,384
Machida Zelvia,J1 League,Machida Zelvia,100,exact,44409,23568
Malmö FF,Allsvenskan,Malmoe FF,94.1,fuzzy_auto,1892,496
Mantova,Serie B,Mantova 1911,90.0,fuzzy_auto,2770,2581
Marbella FC,1RFEF,Marbella FC,100,exact,24348,12361
Mirandés,LaLiga2,CD Mirandés,99,normalized,35092,13222
Mjällby AIF,Allsvenskan,Mjällby AIF,100,exact,1783,2719
Modena,Serie B,Modena FC,99,normalized,2706,1385
Molde FK,Norwegian Eliteserien,Molde FK,100,exact,661,687
Montpellier,Ligue 2,Montpellier HSC,95.0,fuzzy_auto,1642,969
Moreirense,Liga Portugal,Moreirense FC,99,normalized,3014,979
Málaga CF,LaLiga2,Málaga CF,100,exact,2830,1084
Mérida AD,1RFEF,Mérida AD,100,exact,24351,46854
NAC Breda,Eredivisie,NAC Breda,100,exact,2947,132
NEC Nijmegen,Eredivisie,NEC Nijmegen,100,exact,2962,467
Nagoya Grampus,J1 League,Nagoya Grampus,100,exact,3136,1066
Nancy,Ligue 2,AS Nancy-Lorraine,90.0,fuzzy_auto,1675,1159
OFK Beograd Mozzart Bet,Mozzart Bet Superliga,OFK Beograd,90.0,fuzzy_auto,5153,53
Operário-PR,Brasileirao Serie B,Operário Ferroviário Esporte Clube (PR),100,manual_confirm,39634,27214
Osasuna B,1RFEF,CA Osasuna Promesas,95.0,fuzzy_auto,24328,8516
Oud-Heverlee Leuven,Belgian Pro League,Oud-Heverlee Leuven,100,exact,2918,2727
Ourense CF,1RFEF,Ourense CF,100,exact,263550,55398
PEC Zwolle,Eredivisie,PEC Zwolle,100,exact,2971,1269
PSV Eindhoven,Eredivisie,PSV Eindhoven,100,exact,2952,383
Palermo,Serie B,Palermo FC,99,normalized,2715,458
Pau FC,Ligue 2,Pau FC,100,exact,1685,3166
Paysandu SC,Brasileirao Serie B,Paysandu SC,100,exact,1997,6347
Pescara,Serie B,Delfino Pescara 1936,90.0,fuzzy_auto,7935,2921
Pohang Steelers,Korean K League 1,Pohang Steelers,100,exact,7650,311
Pontevedra CF,1RFEF,Pontevedra CF,100,exact,4941,5650
Preußen Münster,2. Bundesliga,Preußen Münster,100,exact,2590,91
RAAL La Louvière,Belgian Pro League,RAAL La Louvière,100,exact,368506,3901
RB Leipzig,Bundesliga,RB Leipzig,100,exact,36360,23826
RC Sporting Charleroi,Belgian Pro League,R Charleroi SC,100,manual_confirm,2898,172
RKC Waalwijk,Eerste Divisie,RKC Waalwijk,100,exact,2956,235
RSC Anderlecht,Belgian Pro League,RSC Anderlecht,100,exact,2900,58
Racing de Ferrol,1RFEF,Racing Club de Ferrol,99,normalized,2843,1176
Real Avilés,1RFEF,Real Avilés Industrial,90.0,fuzzy_auto,77397,20844
Real Madrid Castilla U21,1RFEF,Real Madrid Castilla,99,normalized,5069,6767
Real Murcia,1RFEF,Real Murcia CF,99,normalized,4487,171
Real Racing Club,LaLiga2,Real Racing Club,100,exact,2835,630
Real Sociedad B,LaLiga2,Real Sociedad B,100,exact,24360,9899
Real Valladolid,LaLiga2,Real Valladolid CF,99,normalized,2831,366
Real Zaragoza,LaLiga2,Real Zaragoza,100,exact,2815,142
Red Bull Salzburg,Austrian Bundesliga,Red Bull Salzburgo,97.1,fuzzy_auto,2046,409
Red Star FC,Ligue 2,Red Star FC,100,exact,52874,1154
Reggiana,Serie B,AC Reggiana 1919,90.0,fuzzy_auto,24516,5621
Remo,Brasileirao Serie B,Clube do Remo (PA),90.0,fuzzy_auto,2012,10997
Rio Ave,Liga Portugal,Rio Ave FC,99,normalized,3036,2425
Roda JC Kerkrade,Eerste Divisie,Roda JC Kerkrade,100,exact,2954,192
Rodez AF,Ligue 2,Rodez AF,100,exact,6925,11273
Rosenborg BK,Norwegian Eliteserien,Rosenborg BK,100,exact,1161,195
Royale Union Saint-Gilloise,Belgian Pro League,Union Saint-Gilloise,95.0,fuzzy_auto,4860,3948
SC Cambuur,Eerste Divisie,SC Cambuur Leeuwarden,90.0,fuzzy_auto,2970,133
SC Freiburg,Bundesliga,SC Friburgo,100,manual_confirm,2538,60
SC Heerenveen,Eredivisie,SC Heerenveen,100,exact,2964,306
SC Oțelul Galați,Romanian SuperLiga,SC Otelul Galati,99,normalized,3291,4959
SC Paderborn 07,2. Bundesliga,SC Paderborn 07,100,exact,2561,127
SC Telstar,Eredivisie,SC Telstar,100,exact,2972,1434
SCR Altach,Austrian Bundesliga,SCR Altach,100,exact,4856,3551
SD Ponferradina,1RFEF,SD Ponferradina,100,exact,6195,4032
SD Tarazona,1RFEF,SD Tarazona,100,exact,254156,41403
SK Brann,Norwegian Eliteserien,SK Brann,100,exact,1159,1100
SK Rapid Wien,Austrian Bundesliga,SK Rapid Viena,100,manual_confirm,2055,170
SK Sturm Graz,Austrian Bundesliga,SK Sturm Graz,100,exact,2051,122
SV 07 Elversberg,2. Bundesliga,SV 07 Elversberg,100,exact,2598,64
SV Ried,Austrian Bundesliga,SV Ried,100,exact,2049,266
SV Werder Bremen,Bundesliga,SV Werder Bremen,100,exact,2534,86
SV Zulte Waregem,Belgian Pro League,Zulte Waregem,99,normalized,2933,3508
Saint-Étienne,Ligue 2,AS Saint-Étienne,95.0,fuzzy_auto,1678,618
Sampdoria,Serie B,UC Sampdoria,95.0,fuzzy_auto,2711,1038
Samsunspor,Turkish Süper Lig,Samsunspor,100,exact,3053,152
Sandefjord Fotball,Norwegian Eliteserien,Sandefjord Fotball,100,exact,676,6399
Sanfrecce Hiroshima,J1 League,Sanfrecce Hiroshima,100,exact,3135,2697
Santa Clara,Liga Portugal,CD Santa Clara,99,normalized,3011,2423
Sarpsborg 08,Norwegian Eliteserien,Sarpsborg 08 FF,95.0,fuzzy_auto,822,10217
Sevilla Atlético,1RFEF,Sevilla Atlético,100,exact,7762,8519
Sheriff Tiraspol,Moldovan Super Liga,FC Sheriff Tiraspol,99,normalized,5173,2481
Shimizu S-Pulse,J1 League,Shimizu S-Pulse,100,exact,3133,1062
Sint-Truidense VV,Belgian Pro League,Sint-Truidense VV,100,exact,2895,475
SpVgg Greuther Fürth,2. Bundesliga,SpVgg Greuther Fürth,100,exact,2551,65
Sparta Rotterdam,Eredivisie,Sparta Rotterdam,100,exact,2960,468
Spezia,Serie B,Spezia,100,exact,2735,3522
Sporting Braga,Liga Portugal,SC Braga,90.0,fuzzy_auto,2999,1075
Sporting CP,Liga Portugal,Sporting de Lisboa,90.0,fuzzy_auto,3001,336
Sporting Gijón,LaLiga2,Real Sporting de Gijón,100,manual_confirm,2852,2448
Stade Lavallois,Ligue 2,Stade Lavallois,100,exact,1673,1080
Stade de Reims,Ligue 2,Stade de Reims,100,exact,1682,1421
Standard Liège,Belgian Pro League,Standard de Lieja,100,manual_confirm,2901,3057
Südtirol,Serie B,FC Südtirol,99,normalized,2760,4554
TOP Oss,Eerste Divisie,TOP Oss,100,exact,2978,1228
TSG Hoffenheim,Bundesliga,TSG 1899 Hoffenheim,95.0,fuzzy_auto,2569,533
TSV Hartberg,Austrian Bundesliga,TSV Hartberg,100,exact,2075,4467
Tokyo Verdy,J1 League,Tokyo Verdy,100,exact,3139,3734
Tondela,Liga Portugal,CD Tondela,99,normalized,38396,7179
Trabzonspor,Turkish Süper Lig,Trabzonspor,100,exact,3051,449
Tromsø IL,Norwegian Eliteserien,Tromsø IL,100,exact,660,1293
Troyes,Ligue 2,ESTAC Troyes,90.0,fuzzy_auto,1652,1095
UD Ibiza,1RFEF,UD Ibiza,100,exact,24368,13241
US Boulogne Côte-d'Opale,Ligue 2,US Boulogne,90.0,fuzzy_auto,1711,7042
USL Dunkerque,Ligue 2,USL Dunkerque,100,exact,6918,9202
UTA Arad,Romanian SuperLiga,UTA Arad,100,exact,204657,952
Ulsan HD,Korean K League 1,Ulsan HD FC,99,normalized,7653,3535
Unionistas de Salamanca CF,1RFEF,Unionistas de Salamanca CF,100,exact,254151,52397
Universitatea Craiova,Romanian SuperLiga,CS Universitatea Craiova,95.0,fuzzy_auto,116223,40812
Urawa Red Diamonds,J1 League,Urawa Red Diamonds,100,exact,3145,828
VVV-Venlo,Eerste Divisie,VVV-Venlo,100,exact,2980,1426
Venezia,Serie B,Venezia FC,99,normalized,2688,607
VfB Stuttgart,Bundesliga,VfB Stuttgart,100,exact,2677,79
VfL Wolfsburg,Bundesliga,VfL Wolfsburgo,96.3,fuzzy_auto,2524,82
Viking FK,Norwegian Eliteserien,Viking FK,100,exact,1164,239
Vila Nova FC,Brasileirao Serie B,Vila Nova Futebol Clube (GO),90.0,fuzzy_auto,2021,5677
Villarreal B U23,1RFEF,Villarreal CF B,99,normalized,24338,11972
Virtus Entella,Serie B,Virtus Entella,100,exact,43680,20519
Vissel Kobe,J1 League,Vissel Kobe,100,exact,3146,3958
Vitesse,Eerste Divisie,Vitesse Arnhem,90.0,fuzzy_auto,2958,499
Vitória SC,Liga Portugal,Vitória Guimarães SC,90.0,fuzzy_auto,3009,2420
Volta Redonda,Brasileirao Serie B,Volta Redonda Futebol Clube (RJ),90.0,fuzzy_auto,6982,4176
Västerås SK,Allsvenskan,Västerås SK,100,exact,1775,5202
Vålerenga IF,Norwegian Eliteserien,Vålerenga Fotball Elite,100,manual_confirm,1165,76
WSG Tirol,Austrian Bundesliga,WSG Tirol,100,exact,5405,2446
Willem II Tilburg,Eerste Divisie,Willem II Tilburg,100,exact,2961,403
Wolfsberger AC,Austrian Bundesliga,Wolfsberger AC,100,exact,2076,4441
Yokohama F. Marinos,J1 League,Yokohama F. Marinos,100,exact,3137,3828
Yokohama FC,J1 League,Yokohama F. Marinos,90.0,fuzzy_auto,7061,3828
Zamora CF,1RFEF,Zamora CF,100,exact,24379,10907
Çaykur Rizespor,Turkish Süper Lig,Caykur Rizespor,99,normalized,3064,126
Austin FC,MLS,Austin FC,100,exact,377973,72309
Charlotte FC,MLS,Charlotte FC,100,exact,404108,78435
Chicago Fire,MLS,Chicago Fire FC,99,normalized,2505,432
Columbus Crew,MLS,Columbus Crew,100,exact,2504,813
Empoli,Serie B,Empoli FC,99,normalized,2705,749
FC Cincinnati,MLS,FC Cincinnati,100,exact,215167,51772
FC Dallas,MLS,FC Dallas,100,exact,2512,8816
Inter Miami CF,MLS,Inter Miami CF,100,exact,337602,69261
JEF United Chiba,J1 League,JEF United Chiba,100,exact,3144,672
Kalmar FF,Allsvenskan,Kalmar FF,100,exact,1891,3654
